Model,RTH1004
SerialNumber,104946
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2022-03-29 14:59:05.808647323,2022-03-29 14:59:05.808647323,2022-03-29 14:59:05.808647323,2022-03-29 14:59:05.808647323,2022-03-29 14:59:05.808647323,2022-03-29 14:59:05.808647323,2022-03-29 14:59:05.808647323,2022-03-29 14:59:05.808647323
Waveform Type,DIGITAL,,,,,,,
,,,,,,,,
Horizontal Unit,s,,,,,,,
Horizontal Scale,0.0005,,,,,,,
Horizontal Position,0,,,,,,,
Reference Point,10 %,,,,,,,
Sample Interval,4e-08,,,,,,,
Record Length,125000,,,,,,,
,,,,,,,,
Vertical Unit,,,,,,,,
Threshold,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
,,,,,,,,
,,,,,,,,
History Index,0,0,0,0,0,0,0,0
History Time Stamp,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
,,,,,,,,
TIME,D7,D6,D5,D4,D3,D2,D1,D0
-0.0005,0,0,0,0,0,0,0,0
-0.00049996,0,0,0,0,0,0,0,0
-0.00049992,0,0,0,0,0,0,0,0
-0.00049988,0,0,0,0,0,0,0,0
-0.00049984,0,0,0,0,0,0,0,0
-0.0004998,0,0,0,0,0,0,0,0
-0.00049976,0,0,0,0,0,0,0,0
-0.00049972,0,0,0,0,0,0,0,0
-0.00049968,0,0,0,0,0,0,0,0
-0.00049964,0,0,0,0,0,0,0,0
-0.0004996,0,0,0,0,0,0,0,0
-0.00049956,0,0,0,0,0,0,0,0
-0.00049952,0,0,0,0,0,0,0,0
-0.00049948,0,0,0,0,0,0,0,0
-0.00049944,0,0,0,0,0,0,0,0
-0.0004994,0,0,0,0,0,0,0,0
-0.00049936,0,0,0,0,0,0,0,0
-0.00049932,0,0,0,0,0,0,0,0
-0.00049928,0,0,0,0,0,0,0,0
-0.00049924,0,0,0,0,0,0,0,0
-0.0004992,0,0,0,0,0,0,0,0
-0.00049916,0,0,0,0,0,0,0,0
-0.00049912,0,0,0,0,0,0,0,0
-0.00049908,0,0,0,0,0,0,0,0
-0.00049904,0,0,0,0,0,0,0,0
-0.000499,0,0,0,0,0,0,0,0
-0.00049896,0,0,0,0,0,0,0,0
-0.00049892,0,0,0,0,0,0,0,0
-0.00049888,0,0,0,0,0,0,0,0
-0.00049884,0,0,0,0,0,0,0,0
-0.0004988,0,0,0,0,0,0,0,0
-0.00049876,0,0,0,0,0,0,0,0
-0.00049872,0,0,0,0,0,0,0,0
-0.00049868,0,0,0,0,0,0,0,0
-0.00049864,0,0,0,0,0,0,0,0
-0.0004986,0,0,0,0,0,0,0,0
-0.00049856,0,0,0,0,0,0,0,0
-0.00049852,0,0,0,0,0,0,0,0
-0.00049848,0,0,0,0,0,0,0,0
-0.00049844,0,0,0,0,0,0,0,0
-0.0004984,0,0,0,0,0,0,0,0
-0.00049836,0,0,0,0,0,0,0,0
-0.00049832,0,0,0,0,0,0,0,0
-0.00049828,0,0,0,0,0,0,0,0
-0.00049824,0,0,0,0,0,0,0,0
-0.0004982,0,0,0,0,0,0,0,0
-0.00049816,0,0,0,0,0,0,0,0
-0.00049812,0,0,0,0,0,0,0,0
-0.00049808,0,0,0,0,0,0,0,0
-0.00049804,0,0,0,0,0,0,0,0
-0.000498,0,0,0,0,0,0,0,0
-0.00049796,0,0,0,0,0,0,0,0
-0.00049792,0,0,0,0,0,0,0,0
-0.00049788,0,0,0,0,0,0,0,0
-0.00049784,0,0,0,0,0,0,0,0
-0.0004978,0,0,0,0,0,0,0,0
-0.00049776,0,0,0,0,0,0,0,0
-0.00049772,0,0,0,0,0,0,0,0
-0.00049768,0,0,0,0,0,0,0,0
-0.00049764,0,0,0,0,0,0,0,0
-0.0004976,0,0,0,0,0,0,0,0
-0.00049756,0,0,0,0,0,0,0,0
-0.00049752,0,0,0,0,0,0,0,0
-0.00049748,0,0,0,0,0,0,0,0
-0.00049744,0,0,0,0,0,0,0,0
-0.0004974,0,0,0,0,0,0,0,0
-0.00049736,0,0,0,0,0,0,0,0
-0.00049732,0,0,0,0,0,0,0,0
-0.00049728,0,0,0,0,0,0,0,0
-0.00049724,0,0,0,0,0,0,0,0
-0.0004972,0,0,0,0,0,0,0,0
-0.00049716,0,0,0,0,0,0,0,0
-0.00049712,0,0,0,0,0,0,0,0
-0.00049708,0,0,0,0,0,0,0,0
-0.00049704,0,0,0,0,0,0,0,0
-0.000497,0,0,0,0,0,0,0,0
-0.00049696,0,0,0,0,0,0,0,0
-0.00049692,0,0,0,0,0,0,0,0
-0.00049688,0,0,0,0,0,0,0,0
-0.00049684,0,0,0,0,0,0,0,0
-0.0004968,0,0,0,0,0,0,0,0
-0.00049676,0,0,0,0,0,0,0,0
-0.00049672,0,0,0,0,0,0,0,0
-0.00049668,0,0,0,0,0,0,0,0
-0.00049664,0,0,0,0,0,0,0,0
-0.0004966,0,0,0,0,0,0,0,0
-0.00049656,0,0,0,0,0,0,0,0
-0.00049652,0,0,0,0,0,0,0,0
-0.00049648,0,0,0,0,0,0,0,0
-0.00049644,0,0,0,0,0,0,0,0
-0.0004964,0,0,0,0,0,0,0,0
-0.00049636,0,0,0,0,0,0,0,0
-0.00049632,0,0,0,0,0,0,0,0
-0.00049628,0,0,0,0,0,0,0,0
-0.00049624,0,0,0,0,0,0,0,0
-0.0004962,0,0,0,0,0,0,0,0
-0.00049616,0,0,0,0,0,0,0,0
-0.00049612,0,0,0,0,0,0,0,0
-0.00049608,0,0,0,0,0,0,0,0
-0.00049604,0,0,0,0,0,0,0,0
-0.000496,0,0,0,0,0,0,0,0
-0.00049596,0,0,0,0,0,0,0,0
-0.00049592,0,0,0,0,0,0,0,0
-0.00049588,0,0,0,0,0,0,0,0
-0.00049584,0,0,0,0,0,0,0,0
-0.0004958,0,0,0,0,0,0,0,0
-0.00049576,0,0,0,0,0,0,0,0
-0.00049572,0,0,0,0,0,0,0,0
-0.00049568,0,0,0,0,0,0,0,0
-0.00049564,0,0,0,0,0,0,0,0
-0.0004956,0,0,0,0,0,0,0,0
-0.00049556,0,0,0,0,0,0,0,0
-0.00049552,0,0,0,0,0,0,0,0
-0.00049548,0,0,0,0,0,0,0,0
-0.00049544,0,0,0,0,0,0,0,0
-0.0004954,0,0,0,0,0,0,0,0
-0.00049536,0,0,0,0,0,0,0,0
-0.00049532,0,0,0,0,0,0,0,0
-0.00049528,0,0,0,0,0,0,0,0
-0.00049524,0,0,0,0,0,0,0,0
-0.0004952,0,0,0,0,0,0,0,0
-0.00049516,0,0,0,0,0,0,0,0
-0.00049512,0,0,0,0,0,0,0,0
-0.00049508,0,0,0,0,0,0,0,0
-0.00049504,0,0,0,0,0,0,0,0
-0.000495,0,0,0,0,0,0,0,0
-0.00049496,0,0,0,0,0,0,0,0
-0.00049492,0,0,0,0,0,0,0,0
-0.00049488,0,0,0,0,0,0,0,0
-0.00049484,0,0,0,0,0,0,0,0
-0.0004948,0,0,0,0,0,0,0,0
-0.00049476,0,0,0,0,0,0,0,0
-0.00049472,0,0,0,0,0,0,0,0
-0.00049468,0,0,0,0,0,0,0,0
-0.00049464,0,0,0,0,0,0,0,0
-0.0004946,0,0,0,0,0,0,0,0
-0.00049456,0,0,0,0,0,0,0,0
-0.00049452,0,0,0,0,0,0,0,0
-0.00049448,0,0,0,0,0,0,0,0
-0.00049444,0,0,0,0,0,0,0,0
-0.0004944,0,0,0,0,0,0,0,0
-0.00049436,0,0,0,0,0,0,0,0
-0.00049432,0,0,0,0,0,0,0,0
-0.00049428,0,0,0,0,0,0,0,0
-0.00049424,0,0,0,0,0,0,0,0
-0.0004942,0,0,0,0,0,0,0,0
-0.00049416,0,0,0,0,0,0,0,0
-0.00049412,0,0,0,0,0,0,0,0
-0.00049408,0,0,0,0,0,0,0,0
-0.00049404,0,0,0,0,0,0,0,0
-0.000494,0,0,0,0,0,0,0,0
-0.00049396,0,0,0,0,0,0,0,0
-0.00049392,0,0,0,0,0,0,0,0
-0.00049388,0,0,0,0,0,0,0,0
-0.00049384,0,0,0,0,0,0,0,0
-0.0004938,0,0,0,0,0,0,0,0
-0.00049376,0,0,0,0,0,0,0,0
-0.00049372,0,0,0,0,0,0,0,0
-0.00049368,0,0,0,0,0,0,0,0
-0.00049364,0,0,0,0,0,0,0,0
-0.0004936,0,0,0,0,0,0,0,0
-0.00049356,0,0,0,0,0,0,0,0
-0.00049352,0,0,0,0,0,0,0,0
-0.00049348,0,0,0,0,0,0,0,0
-0.00049344,0,0,0,0,0,0,0,0
-0.0004934,0,0,0,0,0,0,0,0
-0.00049336,0,0,0,0,0,0,0,0
-0.00049332,0,0,0,0,0,0,0,0
-0.00049328,0,0,0,0,0,0,0,0
-0.00049324,0,0,0,0,0,0,0,0
-0.0004932,0,0,0,0,0,0,0,0
-0.00049316,0,0,0,0,0,0,0,0
-0.00049312,0,0,0,0,0,0,0,0
-0.00049308,0,0,0,0,0,0,0,0
-0.00049304,0,0,0,0,0,0,0,0
-0.000493,0,0,0,0,0,0,0,0
-0.00049296,0,0,0,0,0,0,0,0
-0.00049292,0,0,0,0,0,0,0,0
-0.00049288,0,0,0,0,0,0,0,0
-0.00049284,0,0,0,0,0,0,0,0
-0.0004928,0,0,0,0,0,0,0,0
